id_int,id,location_type,net_type,parent_station,route_type,stop_code,stop_id,stop_name,unique_agency_id,wheelchair_boarding,x,y,zone_id
43,1044_detroit_department_of_transportation,,transit,,3.0,WDSPSB,1044,WOODWARD & SPROAT,detroit_department_of_transportation,,-83.05441,42.342037,
44,1045_detroit_department_of_transportation,,transit,,3.0,WDAD3NB,1045,WOODWARD & ALFRED,detroit_department_of_transportation,,-83.05408,42.342135,
45,1050_detroit_department_of_transportation,,transit,,3.0,WDST4SB,1050,WOODWARD & STIMSON,detroit_department_of_transportation,,-83.057333,42.346333,
46,1052_detroit_department_of_transportation,,transit,,3.0,WDERNB,1052,WOODWARD & ERSKINE,detroit_department_of_transportation,,-83.056784,42.345984,
47,1086_detroit_department_of_transportation,,transit,,3.0,MN3REB,1086,MICHIGAN & 3RD,detroit_department_of_transportation,,-83.05713100000001,42.331764,
48,1087_detroit_department_of_transportation,,transit,,3.0,MN3RWB,1087,MICHIGAN & 3RD,detroit_department_of_transportation,,-83.057704,42.332033,
49,1091_detroit_department_of_transportation,,transit,,3.0,LA2NEB,1091,LAFAYETTE & 2ND,detroit_department_of_transportation,,-83.05364300000001,42.329265,
50,1092_detroit_department_of_transportation,,transit,,3.0,LA2NWB,1092,LAFAYETTE & 2ND,detroit_department_of_transportation,,-83.05414300000001,42.329346,
51,1096_detroit_department_of_transportation,,transit,,3.0,LA1SWB,1096,LAFAYETTE & 1ST,detroit_department_of_transportation,,-83.05295799999999,42.329846,
52,1098_detroit_department_of_transportation,,transit,,3.0,MN1SEB,1098,MICHIGAN & 1ST,detroit_department_of_transportation,,-83.054004,42.33177,
53,1101_detroit_department_of_transportation,,transit,,3.0,MNCSEB,1101,Michigan & Cass,detroit_department_of_transportation,,-83.05220899999999,42.331821999999995,
54,1102_detroit_department_of_transportation,,transit,,3.0,MNCAWB,1102,Michigan & Cass,detroit_department_of_transportation,,-83.052978,42.332037,
55,1105_detroit_department_of_transportation,,transit,,3.0,CSLANB,1105,CASS & LAFAYETTE,detroit_department_of_transportation,,-83.051283,42.330515000000005,
56,1106_detroit_department_of_transportation,,transit,,3.0,LACAWB,1106,LAFAYETTE & CASS,detroit_department_of_transportation,,-83.05165,42.330434999999994,
57,1108_detroit_department_of_transportation,,transit,,3.0,LACAEB,1108,LAFAYETTE & CASS,detroit_department_of_transportation,,-83.05144200000001,42.330631,
58,1111_detroit_department_of_transportation,,transit,,3.0,LAWAWB,1111,LAFAYETTE & WASHINGTON BLVD,detroit_department_of_transportation,,-83.050916,42.330666,
59,1118_detroit_department_of_transportation,,transit,,3.0,WAMNSB,1118,WASHINGTON BLVD & MICHIGAN,detroit_department_of_transportation,,-83.050988,42.331516,
60,1132_detroit_department_of_transportation,,transit,,3.0,JFWOWB,1132,JEFFERSON & WOODWARD,detroit_department_of_transportation,,-83.044361,42.329094,
61,1142_detroit_department_of_transportation,,transit,,3.0,RAMANB,1142,RANDOLPH & MACOMB,detroit_department_of_transportation,,-83.04496,42.334818,
62,1147_detroit_department_of_transportation,,transit,,3.0,RAMOSB,1147,RANDOLPH & MONROE,detroit_department_of_transportation,,-83.04477800000001,42.333942,
63,1148_detroit_department_of_transportation,,transit,,3.0,GTBREB,1148,GRATIOT & BRUSH,detroit_department_of_transportation,,-83.044639,42.335998,
64,1157_detroit_department_of_transportation,,transit,,3.0,GTBEWB,1157,GRATIOT & BEAUBIEN,detroit_department_of_transportation,,-83.044088,42.33699,
65,1158_detroit_department_of_transportation,,transit,,3.0,GTBEEB,1158,GRATIOT & BEAUBIEN,detroit_department_of_transportation,,-83.043525,42.33716,
66,1162_detroit_department_of_transportation,,transit,,3.0,GTSTEB,1162,GRATIOT & ST ANTOINE,detroit_department_of_transportation,,-83.042263,42.338884,
67,1163_detroit_department_of_transportation,,transit,,3.0,GTSTWB,1163,GRATIOT & ST ANTOINE,detroit_department_of_transportation,,-83.043022,42.338438000000004,
68,1167_detroit_department_of_transportation,,transit,,3.0,GTMIWB,1167,GRATIOT & MID BLOCK,detroit_department_of_transportation,,-83.041099,42.340903999999995,
69,1168_detroit_department_of_transportation,,transit,,3.0,GTANEB,1168,GRATIOT& ANTIETAM,detroit_department_of_transportation,,-83.04074399999999,42.340841,
70,1171_detroit_department_of_transportation,,transit,,3.0,GTRIWB,1171,GRATIOT & RIVARD,detroit_department_of_transportation,,-83.04010600000001,42.342209000000004,
71,1175_detroit_department_of_transportation,,transit,,3.0,GTSTWB,1175,GRATIOT & STROH DRIVE,detroit_department_of_transportation,,-83.0404,42.341771,
72,1479_detroit_department_of_transportation,,transit,,3.0,MN25WB,1479,MICHIGAN & 25TH,detroit_department_of_transportation,,-83.093417,42.331647,
73,1482_detroit_department_of_transportation,,transit,,3.0,MN22EB,1482,MICHIGAN & 22ND,detroit_department_of_transportation,,-83.088751,42.331579999999995,
74,1483_detroit_department_of_transportation,,transit,,3.0,MNTMWB,1483,MICHIGAN & TILLMAN,detroit_department_of_transportation,,-83.089056,42.331759000000005,
75,1484_detroit_department_of_transportation,,transit,,3.0,MN20EB,1484,MICHIGAN & 20TH,detroit_department_of_transportation,,-83.08381700000001,42.331469,
76,1485_detroit_department_of_transportation,,transit,,3.0,MN18EB,1485,MICHIGAN & 18TH,detroit_department_of_transportation,,-83.081594,42.331466999999996,
77,1486_detroit_department_of_transportation,,transit,,3.0,MN18WB,1486,MICHIGAN & 18TH,detroit_department_of_transportation,,-83.082302,42.331736,
78,1488_detroit_department_of_transportation,,transit,,3.0,MN16WB,1488,MICHIGAN & 16TH,detroit_department_of_transportation,,-83.079273,42.331733,
79,1489_detroit_department_of_transportation,,transit,,3.0,MN14EB,1489,Michigan & 14th,detroit_department_of_transportation,,-83.076196,42.331524,
80,1490_detroit_department_of_transportation,,transit,,3.0,MN14WB,1490,Michigan & 14th,detroit_department_of_transportation,,-83.076696,42.331739,
81,1491_detroit_department_of_transportation,,transit,,3.0,MNVEEB,1491,MICHIGAN & VERMONT,detroit_department_of_transportation,,-83.073131,42.33145,
82,1492_detroit_department_of_transportation,,transit,,3.0,MN12EB,1492,MICHIGAN & ROSA PARKS BLVD,detroit_department_of_transportation,,-83.07182399999999,42.331395,
83,1493_detroit_department_of_transportation,,transit,,3.0,MN12WB,1493,MICHIGAN & ROSA PARKS BLVD,detroit_department_of_transportation,,-83.072227,42.331637,
84,1495_detroit_department_of_transportation,,transit,,3.0,MNCOEB,1495,MICHIGAN & COCHRANE,detroit_department_of_transportation,,-83.06930799999999,42.331365999999996,
85,1500_detroit_department_of_transportation,,transit,,3.0,MNLEEB,1500,MICHIGAN & LEVERETTE,detroit_department_of_transportation,,-83.063885,42.331593,
86,1501_detroit_department_of_transportation,,transit,,3.0,MNBRWB,1501,MICHIGAN & BROOKLYN,detroit_department_of_transportation,,-83.063848,42.331807,
87,1504_detroit_department_of_transportation,,transit,,3.0,MNJLWB,1504,MICHIGAN & JOHN C LODGE,detroit_department_of_transportation,,-83.062394,42.331922,
88,1518_detroit_department_of_transportation,,transit,,3.0,CEBEWB,1518,CONGRESS & BEAUBIEN,detroit_department_of_transportation,,-83.041154,42.332444,
89,1523_detroit_department_of_transportation,,transit,,3.0,WGASNB,1523,GRAND BLVD & ASH,detroit_department_of_transportation,,-83.095747,42.333106,
90,1525_detroit_department_of_transportation,,transit,,3.0,WGRINB,1525,GRAND BLVD & RISDON,detroit_department_of_transportation,,-83.093335,42.329268,
91,1571_detroit_department_of_transportation,,transit,,3.0,14BUSB,1571,14TH & BUCHANAN,detroit_department_of_transportation,,-83.08450400000001,42.345017999999996,
92,1573_detroit_department_of_transportation,,transit,,3.0,GRBUEB,1573,GRAND RIVER & BUCHANAN,detroit_department_of_transportation,,-83.081949,42.345812,
93,1577_detroit_department_of_transportation,,transit,,3.0,ROCANB,1577,ROSA PARKS BLVD & CANFIELD,detroit_department_of_transportation,,-83.080701,42.346973999999996,
94,1581_detroit_department_of_transportation,,transit,,3.0,TRCANB,1581,TRUMBULL & CANFIELD,detroit_department_of_transportation,,-83.076387,42.348258,
95,1583_detroit_department_of_transportation,,transit,,3.0,TRCASB,1583,TRUMBULL & CANFIELD,detroit_department_of_transportation,,-83.076607,42.347954,
96,1584_detroit_department_of_transportation,,transit,,3.0,TRWINB,1584,TRUMBULL & WILLIS,detroit_department_of_transportation,,-83.07551,42.346771999999994,
97,1585_detroit_department_of_transportation,,transit,,3.0,TRWISB,1585,TRUMBULL & WILLIS,detroit_department_of_transportation,,-83.07570600000001,42.346459,
98,1588_detroit_department_of_transportation,,transit,,3.0,TRSESB,1588,TRUMBULL & SELDEN,detroit_department_of_transportation,,-83.074342,42.34407,
