id,x,y,id,old_node_id,id_int
62570825,-83.1036003,42.3793979,62570825,62570825,125
62570827,-83.1034903,42.3792255,62570827,62570827,126
62570832,-83.106636,42.378273,62570832,62570832,127
62570834,-83.106517,42.378098,62570834,62570834,128
62570839,-83.1094517,42.377225,62570839,62570839,129
62570840,-83.1093281,42.377055,62570840,62570840,130
62570939,-83.0369938,42.3335852,62570939,62570939,131
62570948,-83.047608,42.351677,62570948,62570948,132
62571671,-83.095668,42.382262,62571671,62571671,133
62571672,-83.095387,42.382161,62571672,62571672,134
62571695,-83.109459,42.347317,62571695,62571695,135
62571699,-83.109834,42.347148,62571699,62571699,136
62571701,-83.110802,42.346706,62571701,62571701,137
62571704,-83.112068,42.34613,62571704,62571704,138
62571710,-83.113084,42.345334,62571710,62571710,139
62571714,-83.113911,42.344686,62571714,62571714,140
62572367,-83.0360493,42.3338702,62572367,62572367,141
62572540,-83.0961338,42.3465654,62572540,62572540,142
62572543,-83.096687,42.347925,62572543,62572543,143
62572546,-83.09701,42.348725,62572546,62572546,144
62572549,-83.097289,42.349478,62572549,62572549,145
62572613,-83.1309144,42.3639121,62572613,62572613,146
62572730,-83.0767205,42.3576579,62572730,62572730,147
62572755,-83.0806994,42.3555283,62572755,62572755,148
62572996,-83.115412,42.343429,62572996,62572996,149
62572997,-83.115774,42.34312,62572997,62572997,150
62573452,-83.067204,42.340229,62573452,62573452,151
62573994,-83.112889,42.357632,62573994,62573994,152
62574001,-83.112246,42.357944,62574001,62574001,153
62574019,-83.130964,42.364811,62574019,62574019,154
62574130,-83.0489721,42.3517357,62574130,62574130,155
62574703,-83.0722631,42.332955,62574703,62574703,156
62574949,-83.0390597,42.3776524,62574949,62574949,157
62574962,-83.0443705,42.3759219,62574962,62574962,158
62574974,-83.0442605,42.3756929,62574974,62574974,159
62574979,-83.044969,42.375414,62574979,62574979,160
62574993,-83.0449301,42.3757419,62574993,62574993,161
62575148,-83.0902848,42.3365441,62575148,62575148,162
62575200,-83.046486,42.3748681,62575200,62575200,163
62575772,-83.134226,42.334183,62575772,62575772,164
62575776,-83.055796,42.373669,62575776,62575776,165
62576239,-83.0661231,42.3216762,62576239,62576239,166
62576241,-83.0660291,42.3218026,62576241,62576241,167
62576406,-83.085346,42.365644,62576406,62576406,168
62576555,-83.06789,42.341945,62576555,62576555,169
62578107,-83.0660754,42.3393149,62578107,62578107,170
62578827,-83.108935,42.34592,62578827,62578827,171
62579367,-83.0610269,42.3662169,62579367,62579367,172
62579535,-83.112437,42.356309,62579535,62579535,173
62579538,-83.1123513,42.3564895,62579538,62579538,174
62579553,-83.111986,42.3568829,62579553,62579553,175
62579554,-83.111813,42.356993,62579554,62579554,176
62579795,-83.046946,42.350712,62579795,62579795,177
62580000,-83.06752,42.386498,62580000,62580000,178
62580653,-83.084835,42.372494,62580653,62580653,179
62581057,-83.0544263,42.3599686,62581057,62581057,180
62581128,-83.0417105,42.3539486,62581128,62581128,181
62581150,-83.0412371,42.354999,62581150,62581150,182
62581155,-83.0546368,42.3489761,62581155,62581155,183
62581156,-83.054578,42.348829,62581156,62581156,184
62581276,-83.1124825,42.3556551,62581276,62581276,185
62581290,-83.112951,42.356561,62581290,62581290,186
62581332,-83.050475,42.37411,62581332,62581332,187
62581636,-83.0527217,42.3256889,62581636,62581636,188
62581872,-83.126818,42.292915,62581872,62581872,189
62583103,-83.0935565,42.3514957,62583103,62583103,190
62583114,-83.0766839,42.3292647,62583114,62583114,191
62583955,-83.095736,42.345853,62583955,62583955,192
62584422,-83.1038293,42.3071414,62584422,62584422,193
62584592,-83.072239,42.350759,62584592,62584592,194
62585199,-83.083321,42.363332,62585199,62585199,195
62585454,-83.0714935,42.3330998,62585454,62585454,196
62587391,-83.033819,42.3799024,62587391,62587391,197
62587568,-83.0600663,42.3683468,62587568,62587568,198
62588393,-83.0394023,42.3373208,62588393,62588393,199
62589090,-83.0767238,42.331824,62589090,62589090,200
62589097,-83.0761747,42.331737,62589097,62589097,201
62589101,-83.0764333,42.3313601,62589101,62589101,202
62589380,-83.0464963,42.3271633,62589380,62589380,203
62590347,-83.102161,42.308135,62590347,62590347,204
62591273,-83.080644,42.366076,62591273,62591273,205
62591322,-83.061873,42.378029,62591322,62591322,206
62592196,-83.075177,42.3409815,62592196,62592196,207
62592205,-83.0753007,42.3410905,62592205,62592205,208
62592212,-83.0755403,42.340866,62592212,62592212,209
62592223,-83.0755876,42.3410008,62592223,62592223,210
62592791,-83.0561742,42.3387406,62592791,62592791,211
62592813,-83.0615356,42.3362912,62592813,62592813,212
62593582,-83.0504813,42.3405884,62593582,62593582,213
62593589,-83.0504015,42.3407438,62593589,62593589,214
62593606,-83.061273,42.374313,62593606,62593606,215
62593608,-83.0612352,42.3744512,62593608,62593608,216
62594219,-83.078947,42.3398001,62594219,62594219,217
62594228,-83.0790108,42.3399299,62594228,62594228,218
62594233,-83.0792948,42.33969,62594233,62594233,219
62594239,-83.0793623,42.3398199,62594239,62594239,220
62594248,-83.0812333,42.3390602,62594248,62594248,221
62594256,-83.0813314,42.3391902,62594256,62594256,222
62594767,-83.05302,42.359652,62594767,62594767,223
62594790,-83.036882,42.346768,62594790,62594790,224
62594830,-83.059443,42.374888,62594830,62594830,225
62594832,-83.059527,42.375066,62594832,62594832,226
62595563,-83.0204634,42.3856142,62595563,62595563,227
62595820,-83.0586257,42.3372518,62595820,62595820,228
62596033,-83.105264,42.307581,62596033,62596033,229
62596057,-83.101406,42.309654,62596057,62596057,230
62596413,-83.096828,42.351726,62596413,62596413,231
62596478,-83.0847012,42.3379124,62596478,62596478,232
62596490,-83.0847998,42.3380293,62596490,62596490,233
62596503,-83.0871595,42.337382,62596503,62596503,234
62597196,-83.132575,42.347643,62597196,62597196,235
62597198,-83.135611,42.346431,62597198,62597198,236
62597279,-83.0712243,42.3346252,62597279,62597279,237
62597281,-83.0714464,42.3349983,62597281,62597281,238
62597283,-83.0718694,42.3357597,62597283,62597283,239
62597285,-83.0722992,42.3365105,62597285,62597285,240
62597286,-83.0727287,42.3372606,62597286,62597286,241
62597287,-83.0731609,42.3380153,62597287,62597287,242
62597288,-83.0735929,42.3387698,62597288,62597288,243
62597290,-83.0740356,42.3395429,62597290,62597290,244
62597293,-83.0744578,42.3402802,62597293,62597293,245
62597295,-83.0748999,42.3410681,62597295,62597295,246
62597297,-83.0749643,42.3411958,62597297,62597297,247
62597298,-83.0753015,42.3417846,62597298,62597298,248
62597333,-83.069418,42.331403,62597333,62597333,249
62597335,-83.0701419,42.3327363,62597335,62597335,250
62597672,-83.005217,42.376194,62597672,62597672,251
62597674,-83.006746,42.378301,62597674,62597674,252
62597677,-83.008512,42.380741,62597677,62597677,253
62597679,-83.010925,42.38407,62597679,62597679,254
62597681,-83.011076,42.384288,62597681,62597681,255
62597686,-83.011967,42.385527,62597686,62597686,256
62597688,-83.013245,42.387293,62597688,62597688,257
62597689,-83.01394,42.38825,62597689,62597689,258
62599169,-83.0225319,42.3548468,62599169,62599169,259
62599171,-83.02209,42.354158,62599171,62599171,260
62599184,-83.038915,42.3777122,62599184,62599184,261
62599190,-83.026498,42.360965,62599190,62599190,262
62599192,-83.026793,42.361409,62599192,62599192,263
62599193,-83.0270269,42.3617711,62599193,62599193,264
62599194,-83.027542,42.362536,62599194,62599194,265
62599195,-83.027966,42.363177,62599195,62599195,266
62599196,-83.028389,42.363817,62599196,62599196,267
62599197,-83.028676,42.364251,62599197,62599197,268
62599198,-83.029028,42.364783,62599198,62599198,269
62599201,-83.02972,42.365827,62599201,62599201,270
62599203,-83.030415,42.366873,62599203,62599203,271
62599206,-83.030588,42.367139,62599206,62599206,272
62599208,-83.0310749,42.367888,62599208,62599208,273
62599210,-83.031532,42.368559,62599210,62599210,274
62599212,-83.031803,42.368967,62599212,62599212,275
62599215,-83.03228,42.369685,62599215,62599215,276
62599217,-83.032757,42.370405,62599217,62599217,277
62599219,-83.033276,42.371186,62599219,62599219,278
62599221,-83.03388,42.372099,62599221,62599221,279
62599224,-83.034288,42.372717,62599224,62599224,280
62599225,-83.034567,42.373141,62599225,62599225,281
62599226,-83.035259,42.374184,62599226,62599226,282
62599227,-83.035965,42.37525,62599227,62599227,283
62599228,-83.03664,42.376268,62599228,62599228,284
62599230,-83.03713,42.377006,62599230,62599230,285
62599232,-83.037306,42.377271,62599232,62599232,286
62600113,-83.0210215,42.3676892,62600113,62600113,287
62600116,-83.0197201,42.3681671,62600116,62600116,288
62600118,-83.0187267,42.368532,62600118,62600118,289
62600120,-83.0177804,42.3688796,62600120,62600120,290
62600122,-83.01661,42.3693094,62600122,62600122,291
62600124,-83.0165423,42.3693343,62600124,62600124,292
62600127,-83.0163017,42.3694666,62600127,62600127,293
62600129,-83.0151267,42.3698987,62600129,62600129,294
62600131,-83.0140913,42.3702345,62600131,62600131,295
62600134,-83.0130639,42.3706119,62600134,62600134,296
62600137,-83.0120081,42.3709996,62600137,62600137,297
62600138,-83.0108275,42.3714332,62600138,62600138,298
62600140,-83.0096456,42.3718673,62600140,62600140,299
62600164,-83.059365,42.3536015,62600164,62600164,300
62600165,-83.0592315,42.3536677,62600165,62600165,301
62600167,-83.0572007,42.3545356,62600167,62600167,302
62600177,-83.0542528,42.3556145,62600177,62600177,303
62600179,-83.052125,42.356388,62600179,62600179,304
62600185,-83.050995,42.356795,62600185,62600185,305
62600190,-83.048128,42.357837,62600190,62600190,306
62600192,-83.044089,42.359308,62600192,62600192,307
62600196,-83.041577,42.360221,62600196,62600196,308
62600197,-83.040035,42.360782,62600197,62600197,309
62600199,-83.03802,42.361515,62600199,62600199,310
62600204,-83.035982,42.362253,62600204,62600204,311
62600206,-83.035014,42.362607,62600206,62600206,312
62600207,-83.034053,42.362955,62600207,62600207,313
62600208,-83.033082,42.363311,62600208,62600208,314
62600212,-83.031439,42.363906,62600212,62600212,315
62600214,-83.030284,42.364327,62600214,62600214,316
62600218,-83.027491,42.365341,62600218,62600218,317
62600220,-83.02491,42.366279,62600220,62600220,318
62600221,-83.023641,42.366738,62600221,62600221,319
62600457,-83.11064,42.3311738,62600457,62600457,320
62600460,-83.111987,42.333044,62600460,62600460,321
62600463,-83.113753,42.335495,62600463,62600463,322
62600465,-83.114805,42.336959,62600465,62600465,323
62600467,-83.115975,42.338583,62600467,62600467,324
62600469,-83.117193,42.340279,62600469,62600469,325
62600474,-83.117468,42.340708,62600474,62600474,326
62600479,-83.117932,42.341304,62600479,62600479,327
62600482,-83.118466,42.342043,62600482,62600482,328
62600485,-83.119774,42.343857,62600485,62600485,329
62600487,-83.120283,42.344568,62600487,62600487,330
62600491,-83.01839,42.34402,62600491,62600491,331
62600492,-83.018452,42.344174,62600492,62600492,332
62600497,-83.0187189,42.344648,62600497,62600497,333
62600499,-83.0192086,42.3453885,62600499,62600499,334
62600516,-83.0210953,42.3467969,62600516,62600516,335
62600524,-83.0252779,42.3450151,62600524,62600524,336
62600531,-83.0259329,42.3450428,62600531,62600531,337
62600533,-83.0261055,42.3451514,62600533,62600533,338
62600581,-83.0582859,42.3243906,62600581,62600581,339
62600624,-83.0453732,42.3281934,62600624,62600624,340
62600628,-83.0447614,42.3283977,62600628,62600628,341
62601049,-83.059481,42.323831,62601049,62601049,342
62601053,-83.062094,42.322812,62601053,62601053,343
62601068,-83.0645146,42.3219609,62601068,62601068,344
62601106,-83.0454895,42.3283409,62601106,62601106,345
62601111,-83.0445223,42.328856,62601111,62601111,346
62601199,-83.0750363,42.3177284,62601199,62601199,347
62601207,-83.0789067,42.3154374,62601207,62601207,348
62601211,-83.0800246,42.314782,62601211,62601211,349
62601229,-83.0816505,42.312468,62601229,62601229,350
62601234,-83.0820342,42.3116659,62601234,62601234,351
62601248,-83.0829662,42.31057,62601248,62601248,352
62601250,-83.0839139,42.3101461,62601250,62601250,353
62601265,-83.0868409,42.3076933,62601265,62601265,354
62601270,-83.0879139,42.3068309,62601270,62601270,355
62601272,-83.0893366,42.3056805,62601272,62601272,356
62601277,-83.0898472,42.305265,62601277,62601277,357
62601279,-83.0907603,42.304525,62601279,62601279,358
62601280,-83.0917073,42.303742,62601280,62601280,359
62601285,-83.093654,42.302901,62601285,62601285,360
62601295,-83.0979492,42.3011719,62601295,62601295,361
62601298,-83.098841,42.300247,62601298,62601298,362
62601318,-83.105748,42.295728,62601318,62601318,363
62601320,-83.106689,42.295314,62601320,62601320,364
62601322,-83.107627,42.294905,62601322,62601322,365
62601324,-83.108559,42.294494,62601324,62601324,366
62601327,-83.109487,42.294088,62601327,62601327,367
62601329,-83.110417,42.293678,62601329,62601329,368
62601331,-83.111345,42.293268,62601331,62601331,369
62601336,-83.1119646,42.2929929,62601336,62601336,370
62601340,-83.1127455,42.2926612,62601340,62601340,371
62601342,-83.113451,42.292343,62601342,62601342,372
62601345,-83.114541,42.291864,62601345,62601345,373
62601347,-83.115622,42.291391,62601347,62601347,374
62603506,-83.117509,42.312893,62603506,62603506,375
62603508,-83.119888,42.311909,62603508,62603508,376
62603510,-83.122905,42.310667,62603510,62603510,377
62603512,-83.125805,42.309472,62603512,62603512,378
62603518,-83.125735,42.309376,62603518,62603518,379
62603527,-83.128274,42.308408,62603527,62603527,380
62603530,-83.131207,42.307291,62603530,62603530,381
62604110,-83.0508541,42.3369973,62604110,62604110,382
62604116,-83.0524119,42.3363295,62604116,62604116,383
62604119,-83.0537955,42.3357467,62604119,62604119,384
62604122,-83.0548652,42.3352821,62604122,62604122,385
62604124,-83.055524,42.335,62604124,62604124,386
62604385,-83.034308,42.379592,62604385,62604385,387
62604388,-83.0344152,42.3796803,62604388,62604388,388
62604408,-83.038708,42.385484,62604408,62604408,389
62604413,-83.0392019,42.3860504,62604413,62604413,390
62604415,-83.0391495,42.3861829,62604415,62604415,391
62604620,-83.0100439,42.3436566,62604620,62604620,392
62604627,-83.010461,42.3444522,62604627,62604627,393
62604629,-83.0105231,42.3445498,62604629,62604629,394
62604632,-83.010959,42.3452042,62604632,62604632,395
62604634,-83.0115323,42.3460727,62604634,62604634,396
62604636,-83.011996,42.346745,62604636,62604636,397
62604638,-83.0120927,42.3469081,62604638,62604638,398
62604640,-83.012623,42.3477069,62604640,62604640,399
62604716,-83.0106215,42.3443322,62604716,62604716,400
62604718,-83.010716,42.344472,62604718,62604718,401
62604724,-83.0111448,42.345126,62604724,62604724,402
62604726,-83.0117207,42.3459953,62604726,62604726,403
62604729,-83.012282,42.3468257,62604729,62604729,404
62604737,-83.014516,42.350553,62604737,62604737,405
62604742,-83.015842,42.35256,62604742,62604742,406
62604744,-83.017131,42.354506,62604744,62604744,407
62604746,-83.017474,42.355026,62604746,62604746,408
62604747,-83.017905,42.355677,62604747,62604747,409
62604750,-83.018358,42.356367,62604750,62604750,410
62604752,-83.018815,42.35706,62604752,62604752,411
62604754,-83.019269,42.357746,62604754,62604754,412
62604756,-83.019729,42.358443,62604756,62604756,413
62604759,-83.020183,42.359129,62604759,62604759,414
62604760,-83.020467,42.35956,62604760,62604760,415
62604762,-83.0208816,42.3602112,62604762,62604762,416
62604763,-83.021353,42.360899,62604763,62604763,417
62604765,-83.021613,42.361291,62604765,62604765,418
62604768,-83.022093,42.36202,62604768,62604768,419
62604770,-83.022366,42.362435,62604770,62604770,420
62604772,-83.022571,42.362744,62604772,62604772,421
62604774,-83.023044,42.363459,62604774,62604774,422
62604776,-83.02311,42.363559,62604776,62604776,423
62604778,-83.023962,42.364836,62604778,62604778,424
62604780,-83.024282,42.365322,62604780,62604780,425
62604782,-83.025594,42.367326,62604782,62604782,426
62604785,-83.026281,42.368377,62604785,62604785,427
62604787,-83.026968,42.369424,62604787,62604787,428
62604789,-83.027655,42.370473,62604789,62604789,429
62604792,-83.028128,42.371192,62604792,62604792,430
62604806,-83.031785,42.376775,62604806,62604806,431
62604807,-83.032451,42.377791,62604807,62604807,432
62604809,-83.032918,42.378481,62604809,62604809,433
62604814,-83.033426,42.378953,62604814,62604814,434
62605526,-83.0366874,42.3292465,62605526,62605526,435
62605544,-83.0377941,42.3307935,62605544,62605544,436
62605551,-83.1131885,42.3465089,62605551,62605551,437
62605553,-83.113265,42.34795,62605553,62605553,438
62605555,-83.113332,42.349924,62605555,62605555,439
62605560,-83.11346,42.351899,62605560,62605560,440
62605565,-83.113598,42.35387,62605565,62605565,441
